Rank,Release Group,Worldwide,Domestic,%,Foreign,%
417,Like for Likes,"$5,715,555","$50,839",0.9%,"$5,664,716",99.1%
418,They Call Me Jeeg,"$5,713,331",-,-,"$5,713,331",100%
419,My Best Friend's Wedding,"$5,707,770","$78,578",1.4%,"$5,629,192",98.6%
420,Yeob-gi-jeok-in geu-nyeo 2,"$5,701,519",-,-,"$5,701,519",100%
421,Scoop!,"$5,669,344",-,-,"$5,669,344",100%
422,The Icebreaker,"$5,653,694",-,-,"$5,653,694",100%
423,Things to Come,"$5,638,693","$388,140",6.9%,"$5,250,553",93.1%
424,Wazir,"$5,633,588","$1,124,045",20%,"$4,509,543",80%
425,Tamara,"$5,595,545",-,-,"$5,595,545",100%
426,Terra Formars,"$5,546,898",-,-,"$5,546,898",100%
427,House of Wolves,"$5,531,346",-,-,"$5,531,346",100%
428,Five,"$5,528,469",-,-,"$5,528,469",100%
429,That's a Crazy Little Thing Called Love,"$5,459,981",-,-,"$5,459,981",100%
430,Precure All Stars the Movie: Everyone Sing Miraculous Magic!,"$5,440,957",-,-,"$5,440,957",100%
431,Børning 2,"$5,419,664",-,-,"$5,419,664",100%
432,After the Storm,"$5,382,886","$272,132",5.1%,"$5,110,754",94.9%
433,Snekker Andersen og Julenissen,"$5,377,420",-,-,"$5,377,420",100%
434,Lost in the Pacific,"$5,368,535",-,-,"$5,368,535",100%
435,One Night Only,"$5,350,348",-,-,"$5,350,348",100%
436,Sky on fire,"$5,335,450","$78,366",1.5%,"$5,257,084",98.5%
437,My War,"$5,316,684",-,-,"$5,316,684",100%
438,Dyrene i Hakkebakkeskogen,"$5,295,452",-,-,"$5,295,452",100%
439,The Meddler 2016 Re-release,"$5,294,643","$4,267,218",80.6%,"$1,027,425",19.4%
440,"7 rzeczy, których nie wiecie o facetach","$5,267,920",-,-,"$5,267,920",100%
441,Mr. Nian,"$5,256,007",-,-,"$5,256,007",100%
442,Split,"$5,227,278",-,-,"$5,227,278",100%
443,David Brent: Life on the Road,"$5,204,054",-,-,"$5,204,054",100%
444,Born in the Exile: Sandaime J Soul Brothers no kiseki,"$5,181,032",-,-,"$5,181,032",100%
445,The Legend of Chupacabras,"$5,138,140",-,-,"$5,138,140",100%
446,Anthropoid,"$5,079,219","$2,964,845",58.4%,"$2,114,374",41.6%
447,Creepy,"$5,054,326",-,-,"$5,054,326",100%
448,Ye kong que,"$5,045,207",-,-,"$5,045,207",100%
449,Xuan Zang,"$5,023,106",-,-,"$5,023,106",100%
450,Hands of Stone,"$4,978,353","$4,712,792",94.7%,"$265,561",5.3%
451,Victoria 2016 Re-release,"$4,964,535",-,-,"$4,964,535",100%
452,Take Off 2,"$4,936,960",-,-,"$4,936,960",100%
453,Swiss Army Man,"$4,935,501","$4,210,454",85.3%,"$725,047",14.7%
454,Slack Bay,"$4,925,446","$112,621",2.3%,"$4,812,825",97.7%
455,Desierto,"$4,924,990","$2,002,036",40.7%,"$2,922,954",59.3%
456,Den vyborov 2,"$4,921,573",-,-,"$4,921,573",100%
457,Pretty Cure!: Kiseki no Henshin! Cure Mofurun!,"$4,881,491",-,-,"$4,881,491",100%
458,Cherry Returns,"$4,878,197",-,-,"$4,878,197",100%
459,Pettersson und Findus 2 - Das schönste Weihnachten überhaupt,"$4,849,985",-,-,"$4,849,985",100%
460,Blood Father,"$4,845,117",-,-,"$4,845,117",100%
461,Quackerz,"$4,828,042",-,-,"$4,828,042",100%
462,Ushijima the Loan Shark 3,"$4,773,629",-,-,"$4,773,629",100%
463,The Warriors,"$4,754,904",-,-,"$4,754,904",100%
464,Kamen Rider Ichigou,"$4,717,643",-,-,"$4,717,643",100%
465,I'm Gilda,"$4,711,955",-,-,"$4,711,955",100%
466,Monster Strike the Movie,"$4,706,057",-,-,"$4,706,057",100%
467,Where to Invade Next,"$4,664,756","$3,827,261",82%,"$837,495",18%
468,Joking Jazz 4G,"$4,655,813",-,-,"$4,655,813",100%
469,Everybody Wants Some!!,"$4,644,472","$3,400,278",73.2%,"$1,244,194",26.8%
470,Buddy Cops,"$4,622,802",-,-,"$4,622,802",100%
471,Brotherhood,"$4,613,846",-,-,"$4,613,846",100%
472,Find a Boyfriend for My Wife... PLEASE!,"$4,570,757","$1,741,889",38.1%,"$2,828,868",61.9%
473,Natale a Londra - Dio salvi la Regina,"$4,551,751",-,-,"$4,551,751",100%
474,Missing You,"$4,538,719",-,-,"$4,538,719",100%
475,Cezanne et Moi,"$4,529,583","$257,597",5.7%,"$4,271,986",94.3%
476,The Distinguished Citizen,"$4,525,656",-,-,"$4,525,656",100%
477,Batman: The Killing Joke,"$4,462,034","$3,775,000",84.6%,"$687,034",15.4%
478,Ikimizin Yerine,"$4,434,937",-,-,"$4,434,937",100%
479,Kyaa Kool Hain Hum 3,"$4,429,709",-,-,"$4,429,709",100%
480,Don't Think Twice,"$4,417,667","$4,417,667",100%,-,-
481,The Commune,"$4,410,339","$38,737",0.9%,"$4,371,602",99.1%
482,No Filter,"$4,402,895",-,-,"$4,402,895",100%
483,The African Doctor,"$4,401,654",-,-,"$4,401,654",100%
484,The Eagle Huntress,"$4,400,140","$3,169,351",72%,"$1,230,789",28%
485,Kabali,"$4,388,789","$3,903,095",88.9%,"$485,694",11.1%
486,Super Bobrovs,"$4,376,775",-,-,"$4,376,775",100%
487,Demolition,"$4,366,460","$1,978,592",45.3%,"$2,387,868",54.7%
488,Kyaa Kool Hai Hum 3,"$4,348,084",-,-,"$4,348,084",100%
489,Mood of the Day,"$4,289,474",-,-,"$4,289,474",100%
490,High-Rise,"$4,286,576","$346,472",8.1%,"$3,940,104",91.9%
491,Amis Publics N°1,"$4,271,449",-,-,"$4,271,449",100%
492,El paseo 4,"$4,270,311",-,-,"$4,270,311",100%
493,Kikoriki. Legend of the Golden Dragon,"$4,267,406",-,-,"$4,267,406",100%
494,I'm Rich,"$4,243,953",-,-,"$4,243,953",100%
495,61 Days,"$4,227,648",-,-,"$4,227,648",100%
496,The Hunt,"$4,221,961",-,-,"$4,221,961",100%
